q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,score,category
3,1,1,4,1,5,4,4,2,1,1,3,1,4,0,0,1,1,1,2,0,0,0,0,2,42,High Risk
0,0,1,4,3,5,1,1,0,1,2,2,2,1,2,2,0,2,1,1,2,1,3,2,3,42,High Risk
1,1,4,0,1,5,3,5,6,2,2,4,1,2,2,3,0,0,3,0,3,1,3,0,0,52,Needs Upskilling
0,0,0,3,3,2,1,4,0,4,3,1,4,1,2,1,1,2,1,1,2,1,3,0,0,40,High Risk
3,3,0,4,3,0,3,4,3,5,0,3,4,4,1,3,0,3,0,2,0,3,1,0,2,54,Needs Upskilling
4,3,0,0,1,3,2,5,6,0,2,4,4,0,1,2,1,0,2,2,2,0,2,0,3,49,High Risk
4,4,0,3,2,2,2,1,4,1,4,3,0,1,0,2,1,1,3,0,0,1,2,2,3,46,High Risk
2,1,0,1,0,5,6,5,6,4,4,1,3,4,3,0,1,2,3,2,1,1,0,0,1,56,Needs Upskilling
0,4,4,0,4,6,6,0,0,6,3,4,1,3,0,3,2,1,1,1,3,1,1,3,1,58,Needs Upskilling
0,1,2,2,3,0,2,3,0,4,0,1,1,2,2,0,1,1,3,0,0,0,3,1,3,35,High Risk
2,4,1,0,4,6,5,5,2,0,0,0,1,1,0,1,3,0,2,3,0,1,0,3,2,46,High Risk
2,2,0,0,1,4,2,1,1,4,4,1,1,0,3,0,0,2,3,0,2,1,1,1,2,38,High Risk
2,2,2,3,4,6,0,2,6,4,1,3,4,3,1,1,2,3,2,1,1,0,0,3,1,57,Needs Upskilling
3,2,2,1,1,4,0,0,3,4,3,2,1,4,0,2,0,1,0,0,0,3,1,3,0,40,High Risk
0,2,1,2,4,4,5,2,3,6,3,1,3,2,2,2,2,0,0,0,1,2,1,1,2,51,Needs Upskilling
3,0,4,4,0,5,4,6,1,1,4,2,4,0,2,3,3,0,2,1,1,1,2,2,0,55,Needs Upskilling
2,2,3,4,0,4,1,5,0,0,4,0,1,4,1,1,2,3,1,0,2,2,0,0,2,44,High Risk
0,3,3,0,0,1,3,0,2,6,1,4,0,4,0,2,2,0,3,0,0,3,3,3,3,46,High Risk
3,3,2,3,0,3,3,3,2,4,1,4,2,1,3,3,2,1,1,1,2,3,2,2,1,55,Needs Upskilling
3,0,1,3,0,3,5,5,3,4,0,2,2,1,1,3,0,0,3,2,3,1,2,0,0,47,High Risk
2,2,3,4,0,5,0,3,2,1,3,4,2,0,0,0,1,2,0,1,3,0,3,2,0,43,High Risk
0,2,2,2,1,1,6,4,5,0,3,1,4,4,4,3,0,2,0,0,0,3,1,2,3,53,Needs Upskilling
2,2,4,1,3,6,3,2,1,2,4,2,1,1,2,2,1,1,0,3,1,2,3,0,2,51,Needs Upskilling
0,4,3,2,4,2,0,0,0,6,0,3,4,2,3,0,0,2,3,3,0,2,0,3,0,46,High Risk
4,1,2,1,0,6,4,3,5,1,3,1,3,2,3,1,3,3,0,1,0,2,3,2,2,56,Needs Upskilling
1,4,2,4,1,2,1,1,1,0,0,1,0,4,3,1,3,0,0,3,3,2,1,3,3,44,High Risk
1,1,0,1,1,4,4,3,4,6,0,1,0,1,2,2,2,1,0,0,3,3,3,3,1,47,High Risk
1,2,4,3,1,0,5,1,6,4,4,3,2,0,0,2,3,3,0,0,1,1,1,3,0,50,Needs Upskilling
2,2,0,0,3,2,2,5,3,0,0,0,2,0,1,0,2,0,1,1,1,1,1,0,2,31,High Risk
4,4,1,0,4,0,2,0,2,0,1,4,2,0,0,0,1,3,0,0,0,2,0,1,0,31,High Risk
0,4,0,4,3,3,2,3,4,5,1,2,1,2,1,2,3,1,0,2,2,1,3,3,2,54,Needs Upskilling
3,1,0,3,2,0,4,6,2,0,2,0,3,1,3,2,1,1,1,0,0,2,3,1,2,43,High Risk
0,3,3,2,1,3,3,3,5,2,4,2,3,1,0,1,0,3,1,1,1,2,0,1,2,47,High Risk
3,1,2,3,2,1,1,6,0,0,2,4,3,2,3,1,1,0,3,2,2,0,1,2,3,48,High Risk
0,4,4,0,0,1,2,0,0,2,1,3,3,0,4,1,0,2,2,2,3,3,3,3,1,44,High Risk
4,4,0,0,0,5,5,3,0,4,2,1,2,0,3,2,1,2,0,3,1,3,0,3,0,48,High Risk
3,0,4,3,3,5,5,1,2,2,4,1,0,4,3,3,1,3,0,0,1,2,1,3,1,55,Needs Upskilling
2,4,0,3,4,4,2,3,4,6,4,3,2,3,1,2,3,1,0,1,2,3,0,1,2,60,Needs Upskilling
0,0,1,0,2,2,2,2,0,4,0,0,3,1,4,2,1,0,3,3,1,1,3,0,2,37,High Risk
0,3,0,2,4,4,1,5,4,4,3,0,2,1,3,1,3,0,0,3,1,2,0,1,1,48,High Risk
3,1,3,4,3,3,2,4,2,2,0,2,3,1,3,2,3,1,2,0,1,0,2,3,1,51,Needs Upskilling
2,1,2,4,0,4,1,1,5,1,4,3,4,3,4,0,2,2,1,0,1,1,1,3,0,50,Needs Upskilling
2,0,1,3,4,0,5,2,4,3,1,0,0,4,4,2,2,0,3,1,1,0,2,3,2,49,High Risk
4,1,0,4,4,3,2,6,5,0,1,3,4,3,0,2,0,3,1,3,1,0,2,1,1,54,Needs Upskilling
2,4,4,0,0,5,4,5,2,5,0,4,1,0,1,2,1,2,0,1,1,3,1,3,3,54,Needs Upskilling
2,2,1,0,2,1,6,0,2,3,4,1,2,0,4,2,0,3,0,3,1,3,1,2,2,47,High Risk
2,0,1,3,0,5,4,1,3,0,1,1,1,1,4,3,1,2,0,3,3,2,0,3,2,46,High Risk
1,1,0,3,4,2,5,4,2,0,4,1,2,2,2,2,2,1,2,3,1,3,1,0,0,48,High Risk
4,0,1,3,2,3,1,5,2,4,1,3,4,1,4,0,2,3,2,0,3,0,2,2,3,55,Needs Upskilling
0,0,4,2,2,3,4,6,1,0,4,3,3,2,1,0,1,3,3,3,3,0,2,3,0,53,Needs Upskilling
3,2,1,4,0,0,1,4,0,5,2,2,3,3,3,2,1,1,1,3,0,1,3,2,3,50,Needs Upskilling
0,4,4,3,4,2,4,0,3,0,4,1,2,0,3,1,2,3,0,3,0,0,1,3,0,47,High Risk
4,0,0,1,3,1,4,0,6,2,4,2,3,2,3,3,2,2,0,2,3,2,2,0,3,54,Needs Upskilling
3,1,2,1,4,6,1,6,3,3,0,1,4,3,3,2,0,0,0,0,3,2,3,3,3,57,Needs Upskilling
4,3,1,0,1,3,3,1,3,2,2,2,3,0,2,2,2,0,0,2,1,3,3,2,3,48,High Risk
2,0,2,4,3,3,4,6,6,5,3,2,4,2,4,2,1,1,2,0,0,3,0,0,1,60,Needs Upskilling
3,0,4,3,2,0,2,3,1,0,0,4,1,1,3,1,0,2,1,1,2,3,2,1,2,42,High Risk
2,2,1,1,3,4,6,0,5,6,3,2,4,1,0,1,1,3,1,2,0,2,0,0,3,53,Needs Upskilling
0,4,3,4,2,1,5,5,2,5,1,3,0,1,3,1,3,3,3,1,3,0,2,0,1,56,Needs Upskilling
0,3,2,0,2,5,3,3,0,4,3,2,0,3,4,3,0,0,2,3,3,3,0,0,1,49,High Risk
3,1,1,2,3,2,1,2,4,2,4,1,0,1,3,0,1,3,0,1,1,1,0,2,0,39,High Risk
3,3,2,4,2,3,3,4,6,2,3,2,2,4,2,3,2,0,1,1,1,3,1,0,2,59,Needs Upskilling
4,1,1,4,2,3,0,3,5,1,0,0,2,0,1,1,3,1,1,1,0,2,0,3,2,41,High Risk
4,4,0,2,1,5,0,4,6,0,0,1,2,3,1,0,1,3,2,1,1,3,1,0,0,45,High Risk
2,1,2,4,4,1,4,6,2,4,3,0,4,1,4,0,0,2,3,0,2,0,3,0,2,54,Needs Upskilling
3,2,3,0,4,4,4,3,1,6,0,1,2,0,1,1,1,3,3,2,2,3,2,3,0,54,Needs Upskilling
0,2,3,0,1,3,2,6,6,2,0,3,1,2,1,1,3,0,0,0,1,2,3,3,1,46,High Risk
4,2,4,2,3,1,6,2,2,2,3,3,0,1,0,3,0,1,3,0,2,2,2,1,1,50,Needs Upskilling
4,2,1,3,0,5,5,0,2,4,2,3,4,0,4,1,3,0,1,0,2,1,3,0,3,53,Needs Upskilling
0,3,2,1,0,0,3,2,1,5,2,0,0,4,4,0,1,3,3,1,0,2,2,2,0,41,High Risk
4,4,4,3,0,4,0,0,3,5,1,4,2,2,1,2,2,0,0,0,2,1,0,0,1,45,High Risk
2,1,2,4,1,2,4,6,3,0,0,1,4,4,1,1,2,0,1,2,3,0,2,0,1,47,High Risk
3,1,1,1,1,3,5,0,0,1,3,3,3,0,1,1,1,1,3,0,3,2,2,3,0,42,High Risk
0,2,3,2,2,1,3,4,0,2,0,1,1,4,2,3,1,2,3,3,0,3,3,1,1,47,High Risk
3,2,0,2,0,0,4,5,3,1,4,0,2,0,3,3,1,3,2,1,1,0,3,0,2,45,High Risk
4,0,3,1,3,2,4,2,5,5,0,4,2,0,2,1,0,1,0,3,0,3,3,2,1,51,Needs Upskilling
4,4,4,0,3,6,0,3,4,5,0,0,1,4,4,0,3,2,3,2,1,3,1,0,0,57,Needs Upskilling
0,3,0,1,0,1,0,2,2,3,2,1,1,0,0,0,3,0,2,2,1,3,1,2,2,32,High Risk
2,1,4,4,0,1,4,4,4,6,3,4,3,1,3,2,3,2,1,2,1,0,2,3,2,62,Needs Upskilling
1,0,1,0,0,2,1,0,2,0,0,4,2,0,0,1,1,0,2,2,1,0,2,1,1,24,High Risk
0,0,0,2,1,0,4,4,3,3,2,0,2,3,4,3,3,0,2,0,1,2,0,0,3,42,High Risk
1,1,4,1,1,6,5,1,0,6,1,3,0,0,4,0,1,1,3,1,0,3,0,1,2,46,High Risk
1,3,1,3,1,5,4,1,5,3,2,1,4,3,0,2,0,0,3,2,1,1,2,0,0,48,High Risk
2,0,3,3,4,0,2,3,0,3,2,2,4,0,0,1,2,1,3,3,2,2,1,2,3,48,High Risk
1,0,1,4,3,4,6,4,4,0,2,2,0,0,0,0,1,2,2,2,2,0,2,1,3,46,High Risk
1,4,2,3,3,3,2,6,0,0,0,0,4,4,4,1,1,2,1,1,1,1,0,0,2,46,High Risk
2,3,1,1,2,2,2,3,3,4,0,1,1,1,1,1,2,0,0,3,2,0,1,3,1,40,High Risk
1,0,1,1,1,5,1,6,5,1,1,1,4,1,0,0,2,1,2,3,3,1,1,2,3,47,High Risk
1,3,2,3,4,6,1,3,4,1,4,0,4,2,3,0,0,0,3,3,0,2,0,1,1,51,Needs Upskilling
1,1,4,1,4,2,4,1,5,4,4,1,0,4,4,0,3,1,0,0,0,1,2,0,2,49,High Risk
0,2,4,4,3,2,2,3,2,4,4,3,3,4,2,1,1,1,1,2,1,2,3,1,0,55,Needs Upskilling
0,0,1,0,1,0,1,1,0,5,1,0,4,1,2,1,3,1,0,0,1,0,2,0,3,28,High Risk
0,4,2,4,2,3,0,0,5,6,4,3,4,4,3,2,1,2,3,3,3,1,2,2,0,63,Needs Upskilling
2,1,2,4,1,4,4,6,1,3,4,1,3,1,1,3,0,1,2,0,1,3,0,3,1,52,Needs Upskilling
4,3,3,1,0,1,5,4,0,4,2,0,0,4,0,1,2,2,2,0,2,3,1,2,1,47,High Risk
1,1,4,0,1,1,6,3,2,2,0,1,3,0,4,3,0,1,3,0,3,0,0,1,0,40,High Risk
1,0,0,1,0,2,3,1,5,1,0,0,0,1,0,0,2,2,2,2,2,1,2,1,2,31,High Risk
2,3,4,2,0,3,4,2,4,4,2,1,1,1,4,1,3,3,3,3,0,3,3,0,2,58,Needs Upskilling
1,2,4,1,2,6,3,6,2,2,2,3,0,3,2,2,3,2,2,3,2,2,3,2,3,63,Needs Upskilling
0,1,3,1,3,6,2,3,1,2,2,3,1,4,0,2,0,2,2,2,0,1,3,0,3,47,High Risk
4,0,0,1,1,5,6,5,5,2,0,1,1,4,3,3,2,0,2,0,2,1,0,2,2,52,Needs Upskilling
3,4,3,0,0,0,3,0,6,5,4,0,0,1,1,0,0,1,1,0,0,3,1,1,2,39,High Risk
1,3,0,1,1,3,2,0,6,5,2,2,2,0,3,3,2,3,1,1,1,2,0,0,0,44,High Risk
0,1,1,0,3,3,0,2,3,2,1,3,0,0,1,0,2,0,3,1,2,2,3,0,1,34,High Risk
3,1,0,3,3,0,3,1,0,6,2,3,4,0,0,2,3,1,1,1,0,2,2,2,1,44,High Risk
4,2,3,2,4,6,6,3,4,5,3,2,4,4,0,3,3,3,3,2,2,1,1,3,3,76,Needs Upskilling
3,2,4,0,3,6,4,6,3,3,2,1,2,3,1,2,2,3,0,3,3,0,0,2,2,60,Needs Upskilling
0,4,0,3,2,6,2,1,5,2,0,0,1,1,2,2,2,3,0,1,1,1,0,3,0,42,High Risk
3,4,0,0,0,2,4,0,6,3,2,1,2,2,4,0,2,1,1,3,0,1,1,2,3,47,High Risk
2,0,2,0,4,3,6,1,6,3,3,4,4,3,3,3,3,3,0,3,3,3,1,1,0,64,Needs Upskilling
3,0,4,2,2,1,1,0,6,2,1,3,2,2,3,3,3,3,0,3,2,0,2,0,2,50,Needs Upskilling
1,4,1,4,1,0,2,1,5,1,4,4,0,3,3,2,1,0,2,2,3,2,1,2,2,51,Needs Upskilling
1,4,3,4,0,6,3,2,6,6,2,3,2,0,0,2,2,2,2,2,2,3,2,1,2,62,Needs Upskilling
2,3,1,0,3,5,2,4,2,2,3,3,1,4,3,0,1,1,3,2,1,1,3,2,1,53,Needs Upskilling
0,2,4,1,0,6,4,2,5,2,3,4,0,2,4,1,2,2,0,2,3,0,3,0,2,54,Needs Upskilling
1,0,0,3,1,6,0,2,4,5,1,4,3,3,4,1,3,0,3,1,1,2,0,2,3,53,Needs Upskilling
4,2,0,1,4,4,2,4,3,2,0,1,4,4,1,2,1,2,3,0,0,2,3,3,1,53,Needs Upskilling
1,2,4,1,4,2,3,4,4,1,2,4,4,2,0,1,1,3,0,0,2,1,3,0,0,49,High Risk
1,4,0,0,4,0,1,3,1,5,3,1,2,1,4,1,0,3,1,0,2,2,2,3,3,47,High Risk
0,3,0,0,3,4,5,6,6,0,1,1,0,3,2,1,2,1,0,1,1,2,0,1,3,46,High Risk
3,1,0,0,2,4,0,6,1,0,4,1,3,1,0,1,3,1,2,0,1,0,1,1,0,36,High Risk
1,3,3,0,2,5,1,3,0,3,3,3,0,0,0,2,0,1,0,1,0,3,0,2,1,37,High Risk
2,3,3,4,0,3,2,2,0,6,1,3,4,1,4,1,0,0,1,1,3,0,3,3,3,53,Needs Upskilling
3,2,2,0,3,5,4,2,1,3,0,4,0,1,2,1,2,1,3,1,2,3,1,3,3,52,Needs Upskilling
4,3,1,4,4,3,6,0,5,1,0,3,3,3,1,0,0,0,3,0,2,3,0,0,3,52,Needs Upskilling
0,0,4,4,4,3,4,0,4,4,3,4,2,0,4,2,2,3,2,3,0,3,0,3,1,59,Needs Upskilling
4,2,4,0,1,0,3,6,1,6,3,3,1,1,2,3,0,2,2,0,0,2,0,3,1,50,Needs Upskilling
3,0,4,2,1,6,4,3,0,0,2,0,0,4,0,3,2,3,2,0,1,0,0,0,1,41,High Risk
3,1,2,3,4,0,0,5,1,3,1,0,1,2,2,0,3,3,3,2,1,2,2,0,3,47,High Risk
3,2,3,1,4,2,4,5,5,0,3,4,4,1,0,0,2,3,2,1,3,1,0,3,2,58,Needs Upskilling
4,1,2,4,3,3,3,3,1,1,2,3,2,0,4,2,2,1,0,3,0,0,3,2,0,49,High Risk
3,2,4,3,2,4,5,0,4,1,2,3,2,1,4,3,1,1,3,2,3,3,3,0,2,61,Needs Upskilling
4,4,1,2,1,6,2,6,3,4,3,1,0,2,3,1,3,1,1,3,0,2,2,0,1,56,Needs Upskilling
3,3,0,1,2,1,6,6,5,4,0,2,2,0,3,0,3,2,3,3,2,2,1,3,3,60,Needs Upskilling
2,4,3,1,3,2,2,0,0,5,1,4,0,3,3,3,3,1,0,1,0,0,1,3,3,48,High Risk
3,1,3,4,4,0,4,5,4,6,1,2,0,0,4,2,0,0,0,0,0,0,3,0,2,48,High Risk
4,3,2,0,2,5,1,1,1,1,0,2,1,3,1,1,1,3,2,1,2,3,3,3,2,48,High Risk
1,2,3,2,4,2,2,1,1,3,3,4,2,0,4,2,3,2,3,1,0,3,2,0,0,50,Needs Upskilling
3,3,4,4,4,2,5,0,3,0,1,3,0,2,2,0,0,2,3,2,3,1,1,2,3,53,Needs Upskilling
1,0,4,2,0,6,4,1,0,2,3,4,1,2,4,3,0,2,3,1,1,3,1,2,2,52,Needs Upskilling
2,3,2,0,2,2,6,4,0,4,3,2,3,0,4,3,0,2,1,0,1,2,0,0,0,46,High Risk
0,0,4,0,2,2,3,3,2,2,2,3,1,1,0,3,1,2,2,3,3,1,0,0,1,41,High Risk
2,3,1,4,4,1,5,3,0,3,0,0,1,2,0,3,0,0,0,1,2,1,0,1,2,39,High Risk
3,0,2,0,3,5,4,0,3,4,3,4,0,3,0,1,1,3,0,3,0,1,2,1,1,47,High Risk
1,1,1,3,0,5,5,2,6,2,4,4,4,3,4,1,2,2,2,1,3,0,3,3,0,62,Needs Upskilling
1,4,0,1,4,5,2,5,2,6,0,3,4,4,1,2,0,3,0,3,1,3,2,3,1,60,Needs Upskilling
4,2,1,4,1,3,6,0,2,3,1,0,4,3,2,1,3,1,0,1,1,1,1,0,3,48,High Risk
1,3,0,2,1,4,3,1,1,0,2,0,1,4,2,0,0,2,2,2,3,0,3,0,3,40,High Risk
4,4,0,3,0,5,4,5,1,6,1,3,0,0,1,0,2,2,0,3,1,0,0,1,1,47,High Risk
0,2,1,4,3,2,0,2,0,3,1,1,2,0,1,3,2,3,3,1,3,1,2,1,3,44,High Risk
3,2,2,0,4,2,3,1,2,5,0,4,1,0,2,0,0,2,1,1,1,1,2,0,0,39,High Risk
4,0,4,0,2,5,0,6,1,4,1,4,1,1,3,2,2,2,2,2,3,2,0,2,3,56,Needs Upskilling
0,1,4,0,0,6,5,4,3,1,3,2,0,1,0,1,1,2,1,2,0,1,2,2,1,43,High Risk
1,1,0,0,3,5,1,1,1,0,1,3,3,4,0,1,1,0,0,2,0,2,0,3,1,34,High Risk
1,4,0,2,2,2,3,4,5,6,2,2,1,3,2,1,0,0,0,3,0,1,1,0,1,46,High Risk
0,1,2,3,1,3,5,5,5,6,2,2,3,3,1,0,1,2,3,3,0,1,3,0,2,57,Needs Upskilling
1,3,3,1,1,0,0,4,1,2,4,0,3,0,3,1,1,0,2,2,1,3,1,3,1,41,High Risk
0,1,1,2,2,0,2,5,2,4,2,4,4,2,2,3,3,1,0,0,2,1,1,1,0,45,High Risk
4,4,0,2,0,5,2,5,6,1,1,2,0,1,0,3,0,2,2,0,3,1,0,1,3,48,High Risk
4,1,4,1,1,1,1,5,6,3,2,0,3,1,4,3,2,1,2,1,2,2,2,2,3,57,Needs Upskilling
0,3,2,1,4,5,3,5,2,1,0,3,0,0,1,0,0,3,2,0,1,2,1,0,2,41,High Risk
4,0,1,0,2,6,3,5,4,4,2,2,4,1,4,1,1,1,2,1,1,3,1,1,2,56,Needs Upskilling
4,4,2,2,2,5,3,1,6,4,3,4,0,0,2,0,3,3,2,3,2,1,1,2,0,59,Needs Upskilling
4,0,1,4,1,0,5,5,5,5,0,2,1,4,0,1,0,2,1,3,2,1,2,2,1,52,Needs Upskilling
2,0,1,1,0,2,6,1,3,5,4,3,3,3,3,2,0,3,3,0,1,2,2,2,2,54,Needs Upskilling
3,0,0,1,4,5,6,5,2,1,3,2,0,2,4,2,1,3,2,3,1,0,0,1,3,54,Needs Upskilling
1,2,2,3,0,2,1,4,0,3,1,4,2,3,3,0,1,1,1,2,3,0,1,1,2,43,High Risk
2,2,2,4,3,2,3,6,5,1,1,0,0,3,0,3,0,1,0,2,0,0,3,0,2,45,High Risk
4,0,4,4,3,1,5,5,3,4,1,4,3,4,4,0,1,1,2,0,0,2,2,0,1,58,Needs Upskilling
0,4,4,1,1,2,2,2,3,4,3,0,4,1,3,3,1,2,0,0,3,2,0,2,2,49,High Risk
4,3,0,0,1,0,0,5,2,2,3,1,4,2,3,1,1,2,2,1,2,0,1,2,0,42,High Risk
3,3,0,3,1,3,5,5,3,5,3,4,3,1,4,3,1,1,1,3,1,0,3,1,3,63,Needs Upskilling
4,1,3,4,3,3,6,4,2,2,0,4,1,3,0,3,1,2,1,1,2,1,2,1,1,55,Needs Upskilling
0,4,4,1,0,4,6,3,6,0,0,3,1,0,3,1,3,2,1,1,0,2,3,0,3,51,Needs Upskilling
3,2,1,4,0,6,2,4,1,4,1,2,4,3,2,2,1,3,3,2,0,2,2,0,0,54,Needs Upskilling
4,0,2,3,1,5,2,2,5,2,2,0,4,1,4,1,2,3,0,2,2,0,0,3,0,50,Needs Upskilling
3,1,0,3,4,6,0,3,4,1,1,0,3,3,1,0,0,1,3,2,0,0,3,0,2,44,High Risk
1,3,2,2,0,0,2,0,1,5,4,3,1,0,1,0,3,2,2,2,1,3,1,1,2,42,High Risk
1,2,2,1,3,2,1,0,5,5,0,3,4,4,0,0,3,3,0,1,3,2,1,2,2,50,Needs Upskilling
4,2,3,3,2,3,0,2,2,3,3,2,1,1,2,0,1,0,1,2,2,3,2,3,3,50,Needs Upskilling
3,0,4,2,2,6,2,4,5,1,0,2,4,3,3,0,0,2,0,3,1,1,1,0,0,49,High Risk
0,3,0,2,2,0,4,1,6,3,3,4,0,1,1,2,2,0,1,2,1,3,3,0,1,45,High Risk
4,4,2,4,4,3,5,2,2,2,4,1,2,4,0,2,1,1,3,2,0,0,0,1,2,55,Needs Upskilling
1,2,0,4,1,2,2,6,1,6,4,2,0,3,2,3,0,2,3,2,1,2,2,3,3,57,Needs Upskilling
1,0,1,2,3,6,1,3,0,0,0,3,4,3,2,0,1,1,1,0,2,2,3,0,2,41,High Risk
4,4,3,4,4,3,3,3,0,1,3,2,2,1,0,1,1,1,1,3,1,3,2,2,0,52,Needs Upskilling
3,3,1,3,3,5,2,5,5,1,4,0,2,1,0,0,1,1,2,3,3,3,0,1,1,53,Needs Upskilling
1,2,0,0,3,5,6,0,0,1,1,1,4,0,3,2,1,1,3,1,1,1,2,3,0,42,High Risk
3,4,0,3,1,4,6,3,2,3,1,4,4,4,0,0,1,1,3,1,1,1,1,0,3,54,Needs Upskilling
1,4,4,2,2,4,6,2,3,2,3,0,1,0,3,2,1,2,2,2,3,0,1,0,2,52,Needs Upskilling
1,4,2,2,1,3,3,3,2,1,0,0,4,3,3,3,1,0,3,0,1,0,2,3,0,45,High Risk
2,2,2,3,4,0,6,2,3,6,4,1,3,1,4,3,2,2,1,1,1,0,0,1,3,57,Needs Upskilling
1,2,1,4,4,5,4,1,1,1,0,4,4,3,2,3,3,2,0,1,0,3,0,3,2,54,Needs Upskilling
0,1,3,4,4,0,2,5,4,5,1,3,3,3,2,2,2,2,0,2,2,3,1,3,1,58,Needs Upskilling
4,3,2,2,1,0,6,0,3,0,4,4,4,2,2,0,1,3,3,2,0,2,0,1,0,49,High Risk
4,0,4,1,3,3,0,3,0,5,0,2,1,2,4,0,1,3,2,1,2,0,2,0,2,45,High Risk
3,4,1,4,3,0,3,2,2,5,2,0,3,3,3,1,2,2,1,1,3,3,3,2,2,58,Needs Upskilling
1,1,1,3,0,5,4,4,1,0,3,2,0,1,3,2,2,0,0,3,3,2,2,1,2,46,High Risk
0,0,4,4,4,2,0,0,0,6,3,3,3,3,0,1,3,2,1,0,3,0,1,2,2,47,High Risk
3,1,3,3,3,4,0,1,1,2,2,2,1,2,4,3,2,1,3,3,2,1,1,0,0,48,High Risk
2,2,4,2,0,2,0,2,4,5,1,4,3,1,0,0,3,3,3,1,2,1,1,3,2,51,Needs Upskilling
3,4,3,4,3,0,0,6,6,2,4,2,4,3,4,2,1,3,0,3,2,3,0,2,3,67,Needs Upskilling
3,0,4,3,4,2,2,6,2,5,3,3,4,4,0,1,0,2,3,3,3,2,2,0,0,61,Needs Upskilling
1,0,4,2,2,5,6,5,5,4,2,3,1,4,1,1,0,2,2,1,2,1,3,0,2,59,Needs Upskilling
2,0,0,1,4,5,5,5,2,0,2,3,2,3,2,1,0,0,3,2,1,2,2,3,0,50,Needs Upskilling
3,0,1,3,1,0,2,1,4,5,1,4,4,1,2,0,0,0,3,1,0,2,3,3,3,47,High Risk
0,0,4,1,3,3,2,1,2,4,1,3,0,3,3,0,1,1,3,2,3,1,2,0,3,46,High Risk
0,1,4,1,3,2,4,5,5,3,0,0,1,3,1,0,0,2,1,1,0,2,1,0,0,40,High Risk
4,4,2,0,1,3,4,3,3,4,3,3,3,2,2,2,2,2,1,1,1,1,3,2,2,58,Needs Upskilling
2,2,1,4,1,3,6,3,1,1,0,2,3,4,3,0,2,2,0,1,2,3,2,0,2,50,Needs Upskilling
2,2,2,3,2,1,5,2,5,5,2,2,0,2,1,2,0,3,0,0,0,0,0,0,3,44,High Risk
4,2,1,1,3,0,4,4,0,4,4,2,4,2,2,1,2,1,0,2,1,0,0,2,2,48,High Risk
3,2,2,0,3,4,6,2,4,2,4,4,1,3,0,1,3,0,3,0,1,3,2,1,3,57,Needs Upskilling
2,1,4,2,2,5,6,4,3,3,1,2,0,2,4,3,1,3,1,1,0,1,1,2,2,56,Needs Upskilling
0,3,4,3,0,5,1,1,0,6,4,4,4,4,1,0,0,3,2,3,3,1,3,2,3,60,Needs Upskilling
0,4,0,1,2,0,5,0,0,5,4,4,1,2,3,1,0,3,3,0,0,1,2,3,1,45,High Risk
1,0,2,4,4,6,4,2,4,1,4,3,3,4,1,0,1,3,3,2,3,1,0,2,2,60,Needs Upskilling
2,3,3,0,3,6,5,2,3,6,2,0,1,2,3,2,2,1,3,1,2,3,3,0,2,60,Needs Upskilling
3,2,0,1,1,6,2,4,6,4,4,3,2,4,1,1,1,2,2,0,3,0,0,0,2,54,Needs Upskilling
4,3,2,4,4,4,2,1,0,6,4,3,1,2,3,0,1,0,0,3,2,2,0,0,0,51,Needs Upskilling
4,4,2,1,3,5,5,1,0,6,4,4,2,2,2,1,2,0,2,0,0,2,2,1,2,57,Needs Upskilling
3,0,0,3,2,0,1,6,3,3,0,4,1,1,0,1,1,3,0,2,2,0,0,0,0,36,High Risk
1,0,4,3,4,5,1,4,2,6,2,2,2,4,2,0,2,3,2,0,1,3,3,1,0,57,Needs Upskilling
4,4,2,3,3,3,5,1,0,6,1,2,3,4,0,1,2,1,1,3,2,2,1,0,3,57,Needs Upskilling
2,4,4,0,0,2,4,5,1,5,0,3,4,4,2,1,1,3,3,3,3,0,2,2,0,58,Needs Upskilling
1,2,0,3,0,2,3,3,3,3,3,1,2,0,2,1,3,0,3,2,3,3,3,3,0,49,High Risk
2,0,4,4,1,5,1,6,0,1,2,1,2,2,1,1,2,0,3,3,3,2,2,0,1,49,High Risk
0,3,1,1,3,1,0,5,4,4,2,2,3,4,4,2,1,2,0,1,2,1,0,1,2,49,High Risk
1,1,3,2,0,4,2,0,5,3,3,1,2,0,3,1,2,2,2,3,3,1,0,1,0,45,High Risk
4,1,2,4,2,6,5,2,1,3,3,2,0,1,3,3,3,0,1,1,3,3,3,3,2,61,Needs Upskilling
1,4,3,4,3,4,0,6,5,0,3,4,3,4,3,1,3,0,2,0,1,1,3,0,0,58,Needs Upskilling
1,2,4,3,2,4,5,0,5,3,1,3,0,4,0,0,0,1,3,1,2,3,1,2,3,53,Needs Upskilling
1,1,2,0,2,3,6,2,0,0,4,0,3,0,3,3,2,1,1,1,1,0,3,0,1,40,High Risk
1,0,4,1,0,4,2,3,1,4,2,3,2,2,3,2,2,0,1,0,3,0,3,0,0,43,High Risk
2,4,1,0,3,2,2,1,1,6,4,2,0,1,1,3,1,3,3,3,3,2,2,3,2,55,Needs Upskilling
0,3,0,1,4,3,1,5,2,5,4,2,2,4,2,3,2,2,2,1,3,3,0,0,3,57,Needs Upskilling
